id,fecha,provincia,zona_prov,genero,edad,maximo_estudio,espacio_identificado,posibilidad_votar,opinion_gestion_alberto,opinion_gestion_kicillof,opinion_tolosapaz,opinion_manes,opinion_santilli,posibilidad_voto_tolosapaz,posibilidad_voto_santilli,posibilidad_voto_manes,intencion_voto_2021,intencion_voto_2021_otros,voto_emitido_2019,analisis_temporal,peso
6211,6/9/2021 17:05,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,77,Superior,El Kirchnerismo,NO ESTO SEGURO de ir a votar,1,2,2.0,0.0,-1.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6212,6/9/2021 17:03,Buenos Aires,Zona Norte conurbano,Hombre,47,Secundario,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,-2.0,2.0,-1.0,2.0,-1.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6213,6/9/2021 17:02,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,62,Superior,El PRO,SEGURAMENTE iré a votar,-1,-1,0.0,2.0,2.0,-1.0,2.0,0.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6214,6/9/2021 17:02,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,76,Primario,El PRO,SEGURAMENTE iré a votar,-2,-2,-2.0,-1.0,2.0,-1.0,2.0,-1.0,Juntos: Diego Santilli,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6215,6/9/2021 16:57,Buenos Aires,Zona Sur conurbano,Hombre,53,Secundario,El Kirchnerismo,SEGURAMENTE iré a votar,2,2,2.0,1.0,-1.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6216,6/9/2021 16:58,Buenos Aires,Zona Oeste conurbano,Hombre,51,Superior,NINGUNO,SEGURAMENTE iré a votar,-2,-2,0.0,1.0,1.0,-1.0,0.0,0.0,Avanza Libertad: José Luis Espert,,No recuerdo,sem_2_(09/04-09/10),1
6217,6/9/2021 16:56,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,75,Primario incompleto,El peronismo,SEGURAMENTE iré a votar,2,2,2.0,0.0,-1.0,,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6218,6/9/2021 16:51,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,64,Primario,El peronismo,SEGURAMENTE iré a votar,1,2,2.0,-2.0,-2.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
6219,6/9/2021 16:46,Buenos Aires,Resto de la provincia de Buenos Aires,Hombre,48,Superior,El PRO,SEGURAMENTE iré a votar,-2,-2,-1.0,2.0,2.0,-1.0,2.0,,Juntos: Facundo Manes,,Juntos por el Cambio: Mauricio Macri,sem_2_(09/04-09/10),1
6220,6/9/2021 16:45,Buenos Aires,Resto de la provincia de Buenos Aires,Mujer,53,Superior,El peronismo,SEGURAMENTE iré a votar,2,2,1.0,0.0,0.0,2.0,-1.0,-1.0,Frente de Todos: Victoria Tolosa Paz,,Frente de Todos: Alberto Fernández,sem_2_(09/04-09/10),1
